[2023-10-02 10:16:39,469] INFO [Broker id=0] Leader soham-0 with topic id Some(_fNYmQD1SYeHCvHEKeS83Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,473] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,478] INFO [Broker id=0] Leader soham-1 with topic id Some(_fNYmQD1SYeHCvHEKeS83Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,483] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,487] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,487] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,492] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,497] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,501] INFO [Broker id=0] Leader soham-2 with topic id Some(_fNYmQD1SYeHCvHEKeS83Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,505] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,510] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,515] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,520] INFO [Broker id=0] Leader pranav-2 with topic id Some(be2z4iZVT_qC-7vJP3LYSQ) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,520] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,525] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,530] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,547] INFO [Broker id=0] Finished LeaderAndIsr request in 300ms correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2023-10-02 10:16:39,558] INFO [Broker id=0] Add 56 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 16 with correlation id 2 (state.change.logger)
[2023-10-02 10:56:55,539] INFO [Controller id=0 epoch=16] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
